               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  68,            0.044669,            0.046581,           0.0011991,             0.46718,             0.41438,             0.36178,             0.13273,            0.061127,             0.04537,           0.0042128,            0.003367,            0.003367,            0.003367
                  69,            0.044281,            0.046468,           0.0011401,             0.46452,              0.4157,             0.36062,             0.13246,            0.061177,            0.045449,           0.0042212,            0.003268,            0.003268,            0.003268
                  70,            0.044008,             0.04617,           0.0011127,             0.46643,             0.41464,             0.36051,             0.13226,            0.061231,             0.04553,           0.0042304,            0.003169,            0.003169,            0.003169
                  71,            0.043744,            0.045874,           0.0011131,             0.46427,             0.41439,             0.35953,             0.13183,            0.061279,            0.045613,           0.0042397,             0.00307,             0.00307,             0.00307
                  72,            0.043375,            0.045904,           0.0010908,             0.46442,             0.41498,             0.35901,             0.13146,            0.061327,              0.0457,           0.0042515,            0.002971,            0.002971,            0.002971
                  73,            0.043152,            0.045501,           0.0010735,             0.46725,             0.41152,             0.35824,             0.13138,            0.061379,            0.045793,           0.0042598,            0.002872,            0.002872,            0.002872
                  74,            0.043082,            0.045085,           0.0010608,             0.47054,             0.40852,             0.35764,             0.13113,            0.061432,            0.045889,             0.00427,            0.002773,            0.002773,            0.002773
                  75,            0.042537,            0.045113,           0.0010196,             0.46871,             0.40931,             0.35748,             0.13087,            0.061493,            0.045988,           0.0042773,            0.002674,            0.002674,            0.002674
                  76,            0.042223,            0.044701,           0.0010069,             0.46912,             0.40897,             0.35681,             0.13066,            0.061552,            0.046087,           0.0042832,            0.002575,            0.002575,            0.002575
                  77,            0.041942,            0.044722,          0.00096574,             0.47002,             0.40829,              0.3565,             0.13064,            0.061609,            0.046191,           0.0042958,            0.002476,            0.002476,            0.002476
                  78,            0.041529,            0.044345,           0.0009584,             0.46731,             0.40912,             0.35654,             0.13048,            0.061671,            0.046306,           0.0043055,            0.002377,            0.002377,            0.002377
                  79,            0.041407,            0.043589,            0.000902,             0.46495,             0.41003,             0.35632,             0.13044,            0.061731,            0.046414,           0.0043186,            0.002278,            0.002278,            0.002278
                  80,            0.040952,            0.043536,          0.00088292,             0.46676,             0.40915,             0.35581,             0.13023,            0.061797,            0.046525,           0.0043333,            0.002179,            0.002179,            0.002179
                  81,            0.040551,            0.043294,          0.00088259,             0.46888,             0.40741,             0.35549,             0.13006,            0.061865,            0.046638,            0.004347,             0.00208,             0.00208,             0.00208
                  82,            0.040373,            0.043194,           0.0008406,             0.46969,             0.40651,             0.35491,             0.12976,            0.061936,            0.046756,           0.0043601,            0.001981,            0.001981,            0.001981
                  83,            0.040036,            0.043121,          0.00085632,             0.47025,             0.40472,             0.35369,              0.1295,            0.062008,            0.046882,            0.004369,            0.001882,            0.001882,            0.001882
                  84,            0.039802,            0.042548,           0.0008515,             0.47124,             0.40314,             0.35362,             0.12939,            0.062077,            0.047017,           0.0043775,            0.001783,            0.001783,            0.001783
                  85,            0.039453,            0.042711,           0.0007869,              0.4704,             0.40283,             0.35288,             0.12913,            0.062144,             0.04715,           0.0043873,            0.001684,            0.001684,            0.001684
                  86,            0.039103,            0.041978,          0.00076345,             0.46858,             0.40303,             0.35256,             0.12922,            0.062214,            0.047287,           0.0043991,            0.001585,            0.001585,            0.001585
                  87,            0.038762,            0.042069,          0.00074208,             0.46742,              0.4038,             0.35131,             0.12901,            0.062282,            0.047428,           0.0044172,            0.001486,            0.001486,            0.001486
                  88,            0.038396,            0.041468,          0.00074414,              0.4666,             0.40425,             0.35066,             0.12876,            0.062352,            0.047572,            0.004432,            0.001387,            0.001387,            0.001387
